Industriproduksjon ikke nevnt annet sted,32.99
Industriproduksjon ikke nevnt annet sted,32.91
"Reparasjon av metallvarer, maskiner og utstyr",33.14
"Reparasjon av metallvarer, maskiner og utstyr",33.12
"Reparasjon av metallvarer, maskiner og utstyr",33.11
"Reparasjon av metallvarer, maskiner og utstyr",33.13
"Reparasjon av metallvarer, maskiner og utstyr",33.19
"Reparasjon av metallvarer, maskiner og utstyr",33.16
"Reparasjon av metallvarer, maskiner og utstyr",33.15
"Reparasjon av metallvarer, maskiner og utstyr",33.17
Installasjon av industrimaskiner og -utstyr,33.20
"Produksjon, overføring og distribusjon av elektrisitet",35.14
"Produksjon, overføring og distribusjon av elektrisitet",35.12
"Produksjon, overføring og distribusjon av elektrisitet",35.11
"Produksjon, overføring og distribusjon av elektrisitet",35.13
Produksjon av gass og distribusjon av gass gjennom ledningsnett,35.23
Produksjon av gass og distribusjon av gass gjennom ledningsnett,35.21
Produksjon av gass og distribusjon av gass gjennom ledningsnett,35.22
Damp- og varmtvannsforsyning,35.30
"Uttak fra kilde, rensing og distribusjon av vann",36.00
Oppsamling og behandling av avløpsvann,37.00
Innsamling av avfall,38.11
Innsamling av avfall,38.12
Behandling og disponering av avfall,38.21
Behandling og disponering av avfall,38.22
Materialgjenvinning,38.31
Materialgjenvinning,38.32
"Miljørydding, miljørensing og lignende virksomhet",39.00
Utvikling av byggeprosjekter,41.10
Oppføring av bygninger,41.20
Bygging av veier og jernbaner,42.13
Bygging av veier og jernbaner,42.12
Bygging av veier og jernbaner,42.11
"Bygging av vann- og kloakkanlegg, og anlegg for elektrisitet og telekommunikasjon",42.21
"Bygging av vann- og kloakkanlegg, og anlegg for elektrisitet og telekommunikasjon",42.22
Bygging av andre anlegg,42.91
Bygging av andre anlegg,42.99
Riving og grunnarbeid,43.11
Riving og grunnarbeid,43.13
Riving og grunnarbeid,43.12
"Elektrisk installasjonsarbeid, VVS-arbeid og annet installasjonsarbeid",43.22
"Elektrisk installasjonsarbeid, VVS-arbeid og annet installasjonsarbeid",43.21
"Elektrisk installasjonsarbeid, VVS-arbeid og annet installasjonsarbeid",43.29
Ferdiggjøring av bygninger,43.32
Ferdiggjøring av bygninger,43.39
Ferdiggjøring av bygninger,43.33
Ferdiggjøring av bygninger,43.34
Ferdiggjøring av bygninger,43.31
Annen spesialisert bygge- og anleggsvirksomhet,43.99
Annen spesialisert bygge- og anleggsvirksomhet,43.91
"Handel med motorvogner, unntatt motorsykler",45.11
"Handel med motorvogner, unntatt motorsykler",45.19
"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",45.20
"Handel med deler og utstyr til motorvogner, unntatt motorsykler",45.32
"Handel med motorsykler, deler og utstyr. Vedlikehold og reparasjon av motorsykler",45.40
Agenturhandel,46.16
Agenturhandel,46.12
Agenturhandel,46.14
Agenturhandel,46.13
Agenturhandel,46.18
Agenturhandel,46.11
Agenturhandel,46.19
Agenturhandel,46.17
Agenturhandel,46.15
Engroshandel med jordbruksråvarer og levende dyr,46.22
Engroshandel med jordbruksråvarer og levende dyr,46.21
Engroshandel med nærings- og nytelsesmidler,46.38
Engroshandel med nærings- og nytelsesmidler,46.34
Engroshandel med nærings- og nytelsesmidler,46.33
Engroshandel med nærings- og nytelsesmidler,46.36
Engroshandel med nærings- og nytelsesmidler,46.31
Engroshandel med husholdningsvarer og varer til personlig bruk,46.44
Engroshandel med husholdningsvarer og varer til personlig bruk,46.46
Engroshandel med husholdningsvarer og varer til personlig bruk,46.49
Engroshandel med husholdningsvarer og varer til personlig bruk,46.43
Engroshandel med husholdningsvarer og varer til personlig bruk,46.47
Engroshandel med husholdningsvarer og varer til personlig bruk,46.41
Engroshandel med husholdningsvarer og varer til personlig bruk,46.42
Engroshandel med husholdningsvarer og varer til personlig bruk,46.45
Engroshandel med IKT-utstyr,46.52
Engroshandel med IKT-utstyr,46.51
Engroshandel med andre maskiner og annet utstyr,46.66
Engroshandel med andre maskiner og annet utstyr,46.69
Engroshandel med andre maskiner og annet utstyr,46.65
Engroshandel med andre maskiner og annet utstyr,46.62
Engroshandel med andre maskiner og annet utstyr,46.61
Engroshandel med andre maskiner og annet utstyr,46.64
Engroshandel med spesialisert vareutvalg ellers,46.73
Engroshandel med spesialisert vareutvalg ellers,46.77
Engroshandel med spesialisert vareutvalg ellers,46.74
Engroshandel med spesialisert vareutvalg ellers,46.75
Engroshandel med spesialisert vareutvalg ellers,46.72
